"東京都"
"時点","最高気温（日最高気温の月平均の最高値）【℃】"
"2011年","31.2"
"2012年","33.1"
"2013年","33.2"
"2014年","31.2"
"2015年","30.5"
"2016年","31.6"
"2017年","31.8"
"2018年","32.7"
"2019年","32.8"
"2020年","34.1"
